Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
04/07/2020,Northwest,Confirmed,54,9,2
04/07/2020,Northern,Probable,10,0,0
04/07/2020,Northwest,Probable,12,1,0
04/08/2020,Southwest,Confirmed,8,3,1
04/08/2020,Eastern,Confirmed,41,6,4
04/08/2020,Northern,Confirmed,229,32,9
04/08/2020,Central,Confirmed,121,20,2
04/08/2020,Eastern,Probable,7,0,0
04/08/2020,Northwest,Confirmed,65,9,0
04/08/2020,Central,Probable,2,0,1
04/08/2020,Northern,Probable,20,0,3
04/08/2020,Northwest,Probable,12,0,1
04/09/2020,Northwest,Probable,4,0,0
04/09/2020,Southwest,Confirmed,15,4,0
04/09/2020,Central,Confirmed,88,17,11
04/09/2020,Eastern,Probable,7,0,1
04/09/2020,Northwest,Confirmed,67,9,1
04/09/2020,Northern,Confirmed,231,43,4
04/09/2020,Central,Probable,2,0,0
04/09/2020,Eastern,Confirmed,43,18,2
04/09/2020,Northern,Probable,14,1,2
04/10/2020,Northwest,Confirmed,96,8,2
04/10/2020,Northwest,Probable,11,0,0
04/10/2020,Eastern,Confirmed,73,9,2
04/10/2020,Central,Probable,5,0,1
04/10/2020,Southwest,Probable,1,0,0
04/10/2020,Eastern,Probable,6,0,0
04/10/2020,Northern,Confirmed,307,38,8
04/10/2020,Southwest,Confirmed,11,1,3
04/10/2020,Northern,Probable,27,0,0
04/10/2020,Central,Confirmed,100,17,8
04/11/2020,Eastern,Probable,3,0,1
04/11/2020,Northwest,Probable,9,0,0
04/11/2020,Northwest,Confirmed,68,3,2
04/11/2020,Central,Confirmed,61,17,6
04/11/2020,Northern,Confirmed,197,33,4
04/11/2020,Eastern,Confirmed,31,8,1
04/11/2020,Northern,Probable,15,0,0
04/11/2020,Southwest,Probable,2,0,0
04/11/2020,Central,Probable,2,0,1
04/11/2020,Southwest,Confirmed,19,3,0
04/12/2020,Northern,Probable,17,0,1
04/12/2020,Central,Confirmed,66,19,9
04/12/2020,Northwest,Confirmed,85,7,1
04/12/2020,Southwest,Confirmed,12,1,1
04/12/2020,Central,Probable,1,0,1
04/12/2020,Northern,Confirmed,242,41,11
04/12/2020,Northwest,Probable,9,0,0
04/12/2020,Southwest,Probable,1,0,0
04/12/2020,Eastern,Confirmed,33,7,4
04/12/2020,Eastern,Probable,5,0,0
04/13/2020,Northern,Confirmed,377,61,11
04/13/2020,Northern,Probable,32,0,3
04/13/2020,Northwest,Confirmed,99,16,3
04/13/2020,Central,Probable,4,0,0
04/13/2020,Eastern,Probable,4,0,0
04/13/2020,Northwest,Probable,11,0,0
04/13/2020,Central,Confirmed,96,15,9
04/13/2020,Southwest,Confirmed,13,2,1
04/13/2020,Eastern,Confirmed,88,12,3
04/14/2020,Northwest,Probable,6,0,0
04/14/2020,Southwest,Confirmed,17,3,0
04/14/2020,Southwest,Probable,1,0,0
04/14/2020,Central,Probable,1,0,0
04/14/2020,Northwest,Confirmed,97,11,3
04/14/2020,Eastern,Confirmed,49,4,2
04/14/2020,Northern,Confirmed,298,43,13
04/14/2020,Northern,Probable,25,0,1
04/14/2020,Eastern,Probable,1,0,0
04/14/2020,Central,Confirmed,86,8,9
04/15/2020,Central,Probable,2,0,0
04/15/2020,Northern,Probable,14,0,0
04/15/2020,Eastern,Probable,3,0,0
04/15/2020,Southwest,Probable,1,0,1
